CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Bond Counsel Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
1993-1358,Benicia Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/05/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Series B,6792649,6792649,0,0,General obligation bond,K-12 School Facility,Property tax revenues,,5.903,NIC,,,,08/01/2018 12:00:00 AM,YES,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Mark Pressman Associates,,,,Caldwell Flores Winters Inc / CFW,O'Melveny & Myers,,,,,4.31,292649.04,0,0,0,98493.04,0,0,0,0,0,0,0,0,0,194156
2006-0342,Travis Unified School District,2006-0342.pdf (http://cdiacdocs.sto.ca.gov/2006-0342.pdf),SOLD,04/26/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,"Center ES, Golden West MS & Vanden HS",24520000,24520000,0,427543,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,,4.87,NIC,,,09/01/2016 12:00:00 AM,09/01/2036 12:00:00 AM,NO,S:Aaa,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Neg,Unknown,George K Baum & Company,,,,,Miller Brown & Dannis,,Jones Hall A Professional Law Corp,,Wells Fargo Bank National Association,2.73,668449,0,0,0,274423,0,0,60000,0,25000,0,5000,243776,15250,45000
2005-1896,Fairfield-Suisun Unified School District CFD No 2,2005-1896.pdf (http://cdiacdocs.sto.ca.gov/2005-1896.pdf),SOLD,01/11/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2015-2542,Mello-Roos,Community Facilities District,Rancho Solano,2475000,0,2475000,119706,Limited tax obligation bond,K-12 School Facility,Special tax revenues,,4.98,NIC,,,08/15/2015 12:00:00 AM,08/15/2016 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,,Fairfield-Suisun Unified School District Public Financing Authority,,,Stradling Yocca Carlson & Rauth,,,,U.S. Bank National Association,1,24750,0,0,0,24750,0,0,0,0,0,0,0,0,0,0
2016-0803,Fairfield Redevelopment Agency,2016-0803.pdf (http://cdiacdocs.sto.ca.gov/2016-0803.pdf),SOLD,06/25/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2003-0750,Cities,Redevelopment Agency,City Center,10110000,10110000,0,0,Marks-Roos Authority Loan,"Redevelopment, Multiple Purposes",Tax increment,3.913,,,,,08/01/2013 12:00:00 AM,08/01/2023 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,Fairfield Public Financing Authority,,,,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,BNY Mellon Capital Markets LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-0804,Fairfield Redevelopment Agency,2016-0804.pdf (http://cdiacdocs.sto.ca.gov/2016-0804.pdf),SOLD,06/25/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2003-1238,Cities,Redevelopment Agency,Hsg,4810000,4810000,0,0,Marks-Roos Authority Loan,"Redevelopment, Multiple Purposes",Tax increment,4.288,,,,,08/01/2013 12:00:00 AM,08/01/2028 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,Fairfield Public Financing Authority,,,,Jones Hall A Professional Law Corp,,,,BNY Mellon Capital Markets LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-1167,Benicia Unified School District,2011-1167.pdf (http://cdiacdocs.sto.ca.gov/2011-1167.pdf),SOLD,10/05/2011 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,School Facilities,4735000,0,4735000,286938.45,General obligation bond,K-12 School Facility,Property tax revenues,,2.686,NIC,,,,08/01/2019 12:00:00 AM,NO,NOT RATED,M:Aa3,NOT RATED,NOT RATED,,,Neg,Unknown,De La Rosa & Company,,,,"Isom Advisors, A Division of Urban Futures, Inc",Jones Hall A Professional Law Corp,,,,Union Bank NA,2.72,128661.97,0,0,0,40000,0,39625,16703,0,10000,0,1530,0,8000,12803.97
2000-0480,Benicia Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/20/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Series B,6255155,6255155,0,259219,General obligation bond,K-12 School Facility,Property tax revenues,5.906,,TIC,,,,08/01/2025 12:00:00 AM,YES,S:AAA/A,M:Aaa/A2,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Banc of America Securities,,,,Caldwell Flores Winters Inc / CFW,O'Melveny & Myers,,,,US Trust Company of California NA,4.14,259219,0,0,0,64924,0,0,0,0,0,0,0,0,0,194295
2005-0002,Rio Vista CFD No 2004-1,2005-0002.pdf (http://cdiacdocs.sto.ca.gov/2005-0002.pdf),SOLD,01/13/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Mello-Roos,Community Facilities District,Northwest Facility,15585000,15585000,0,0,Limited tax obligation bond,"Wastewater Collection, Treatment",Special tax revenues,,5.802,NIC,,,03/01/2014 12:00:00 AM,09/01/2035 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,Bartle Wells Associates,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,Union Bank of California,1.88,293137,0,0,0,169097,0,0,0,0,0,0,0,0,0,124040
2003-1449,Benicia Unified School District,2003-1449.pdf (http://cdiacdocs.sto.ca.gov/2003-1449.pdf),SOLD,08/13/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,5000000,5000000,0,24750,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,1,NIC,,,,08/13/2004 12:00:00 AM,NO,S:SP1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,US Bancorp Piper Jaffray,,,,,Kutak Rock LLP,,,,Solano County,0.47,23500,0,0,0,5000,0,0,7500,0,0,0,0,0,0,16000
1997-0025,Dixon Public Financing Authority,1997-0025.pdf (http://cdiacdocs.sto.ca.gov/1997-0025.pdf),SOLD,02/12/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Fire Station,3300000,3300000,0,0,Public lease revenue bond,Public Building,General fund of issuing jurisdiction,,5.403,NIC,,,04/01/2003 12:00:00 AM,04/01/2022 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Comp,Unknown,PaineWebber Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,Union Bank of California,3.64,120000,0,0,0,40775,0,0,0,0,0,0,0,0,0,0
1995-1163,Benicia Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/26/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,1900000,1900000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,3.9,NIC,,,,06/28/1996 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,Caldwell Flores Winters Inc / CFW,O'Melveny & Myers,,,,Solano County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-0407,Benicia Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,04/22/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,School Facilities,5035000,0,5035000,10578,General obligation bond,K-12 School Facility,Property tax revenues,5.078,,TIC,,,08/01/2008 12:00:00 AM,06/01/2019 12:00:00 AM,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Neg,Unknown,BancAmerica Robertson Stephens,,,,Caldwell Flores Winters Inc / CFW,O'Melveny & Myers,,,,Union Bank of California,3.53,177721,0,0,0,32728,0,0,0,0,0,0,0,0,0,144993
2001-2014,Benicia Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/02/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Series C,3744994,3744994,0,216327,General obligation bond,K-12 School Facility,Property tax revenues,5.099,,TIC,,,,08/01/2026 12:00:00 AM,YES,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Banc of America Securities,,,,Caldwell Flores Winters Inc / CFW,O'Melveny & Myers,,,,BNY Mellon Capital Markets LLC,5.78,216327.35,0,0,5000,48538,0,72000,50000,0,0,0,2000,0,5000,38789.35
2016-0800,Fairfield Redevelopment Agency,2016-0800.pdf (http://cdiacdocs.sto.ca.gov/2016-0800.pdf),SOLD,06/25/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2003-0750,Cities,Redevelopment Agency,Hwy 12,33030000,33030000,0,0,Marks-Roos Authority Loan,"Redevelopment, Multiple Purposes",Tax increment,3.913,,,,,08/01/2013 12:00:00 AM,08/01/2023 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,Fairfield Public Financing Authority,,,,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,BNY Mellon Capital Markets LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-0461,Benicia Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/26/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Series C,7805840,7805840,0,0,General obligation bond,K-12 School Facility,Property tax revenues,6.407,,TIC,,,08/01/2004 12:00:00 AM,08/01/2011 12:00:00 AM,YES,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Mark Pressman Associates,,,,Caldwell Flores Winters Inc / CFW,O'Melveny & Myers,,,,,1.63,126845,0,0,0,126845,0,0,0,0,0,0,0,0,0,0
2005-1868,Solano County,2005-1868.pdf (http://cdiacdocs.sto.ca.gov/2005-1868.pdf),SOLD,11/16/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,Pension Obligation,42385000,42385000,0,,Pension obligation bonds,Insurance and Pension Funds,General fund of issuing jurisdiction,5.353,,TIC,,Federally Taxable,,01/15/2025 12:00:00 AM,NO,S:AAA/A+,M:Aaa/A1,NOT RATED,NOT RATED,Ins,XL Capital Assurance,Neg,Unknown,Lehman Brothers,,,,The PFM Group/Public Financial Management Inc,Orrick Herrington & Sutcliffe LLP,,,,Union Bank of California,1.61,681527,,,,294534,,,97000,,,,,,,
1991-0003,Benicia Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,02/12/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,School Facilities,4185000,0,4185000,0,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,,6.24,NIC,,,,,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Mark Pressman Associates,,,,Caldwell Flores Winters Inc / CFW,O'Melveny & Myers,,,,,2.49,104162.05,0,0,0,104162.05,0,0,0,0,0,0,0,0,0,0
1991-0772,Benicia Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/26/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Series A,14900000,14900000,0,0,General obligation bond,K-12 School Facility,Property tax revenues,,6.869,NIC,,,08/01/2001 12:00:00 AM,08/01/2016 12:00:00 AM,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Mark Pressman Associates,,,,Caldwell Flores Winters Inc / CFW,O'Melveny & Myers,,,,,4.09,610000,0,0,0,238615,0,0,0,0,0,0,0,0,0,371385
2005-1895,Fairfield-Suisun Unified School District CFD No 1,2005-1895.pdf (http://cdiacdocs.sto.ca.gov/2005-1895.pdf),SOLD,01/11/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2015-2542,Mello-Roos,Community Facilities District,Suisun City Schools,3335000,0,3335000,150765,Limited tax obligation bond,K-12 School Facility,Special tax revenues,,4.752,NIC,,,08/15/2015 12:00:00 AM,08/15/2017 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,,Fairfield-Suisun Unified School District Public Financing Authority,,,Stradling Yocca Carlson & Rauth,,,,U.S. Bank National Association,1,33350,0,0,0,33350,0,0,0,0,0,0,0,0,0,0
2004-1133,Vacaville Unified School District (CSCRPA),2004-1133.pdf (http://cdiacdocs.sto.ca.gov/2004-1133.pdf),SOLD,06/15/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 2004 TRAN Pool,5000000,5000000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,1.601,NIC,,,,07/06/2005 12:00:00 AM,N/A,S:SP1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Piper Jaffray & Co,,,,,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,,,,,,,,,,,,,,,,
2005-0850,Dixon Unified School District (CSCRPA),2005-0850.pdf (http://cdiacdocs.sto.ca.gov/2005-0850.pdf),SOLD,06/23/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 2005 TRAN Pool Series A,3440000,3440000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,2.601,NIC,,,,07/06/2006 12:00:00 AM,N/A,S:SP1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Piper Jaffray & Co,,,,,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,,,,,,,,,,,,,,,,
1994-0462,Benicia Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/13/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,1900000,1900000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.5,NIC,,,,06/28/1995 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,Caldwell Flores Winters Inc / CFW,O'Melveny & Myers,,,,Solano County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-0848,Solano County Board of Education (CSCRPA),2005-0848.pdf (http://cdiacdocs.sto.ca.gov/2005-0848.pdf),SOLD,06/23/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Board of Education,CSCRPA 2005 TRAN Pool Series A,3475000,3475000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,2.601,NIC,,,,07/06/2006 12:00:00 AM,N/A,S:SP1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Piper Jaffray & Co,,,,,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,,,,,,,,,,,,,,,,
2014-1752,Benicia Unified School District,2014-1752.pdf (http://cdiacdocs.sto.ca.gov/2014-1752.pdf),SOLD,11/04/2014 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Series A,20000000,20000000,0,642949.2,General obligation bond,K-12 School Facility,Property tax revenues,3.621,3.692,,,,08/01/2024 12:00:00 AM,08/01/2039 12:00:00 AM,NO,NOT RATED,M:Aa3,NOT RATED,NOT RATED,,,Neg,NO,Morgan Stanley & Co LLC,,,,"Isom Advisors, A Division of Urban Futures, Inc",Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,MUFG/Mitsubishi UFG Union Bank,1.58,315000,86235.5,15804.32,17960.18,120000,0,70000,41937,0,25000,0,1030,0,17500,39533
2004-1131,Dixon Unified School District (CSCRPA),2004-1131.pdf (http://cdiacdocs.sto.ca.gov/2004-1131.pdf),SOLD,06/15/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 2004 TRAN Pool,1310000,1310000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,1.601,NIC,,,,07/06/2005 12:00:00 AM,N/A,S:SP1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Piper Jaffray & Co,,,,,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,,,,,,,,,,,,,,,,
1997-1524,Benicia Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/30/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Series B,14820000,0,14820000,0,General obligation bond,K-12 School Facility,Property tax revenues,5,,TIC,,,08/01/2007 12:00:00 AM,08/01/2016 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,BancAmerica Securities Inc,,,,Caldwell Flores Winters Inc / CFW,O'Melveny & Myers,,,,Union Bank of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2005,Vallejo,2002-2005.pdf (http://cdiacdocs.sto.ca.gov/2002-2005.pdf),SOLD,11/04/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,12415000,12415000,0,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,,VAR,,,12/12/2002 12:00:00 AM,12/01/2023 12:00:00 AM,NO,S:AAA/A-1+,NOT RATED,NOT RATED,NOT RATED,LOC,Union Bank of California,Neg,Unknown,Wulff Hansen & Company,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,Union Bank of California,4.15,515000,,31038,,,,87500,87500,,25000,,5183,214861,12500,82456
2002-1392,Fairfield,2002-1392.pdf (http://cdiacdocs.sto.ca.gov/2002-1392.pdf),SOLD,06/24/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,5000000,5000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,1.701,,TIC,,,,06/30/2003 12:00:00 AM,N/A,S:SP1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,,,Fairfield,,,,5000,,,,,,,,,,,,
2018-1067,Rio Vista Public Financing Authority,2018-1067.pdf (http://cdiacdocs.sto.ca.gov/2018-1067.pdf),SOLD,06/28/2018 12:00:00 AM,2018-1067 Report (https://debtwatch.treasurer.ca.gov/transparency?cdiac=2018-1067),LATE (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),Y,Yes,06/30/2018 12:00:00 AM,Y,Solano,YES,NO,,JPA & Marks-Roos,Joint Powers Agency,CFD Nos 2004-1 & 2006-1,9615000,9615000,0,483411.1,Revenue bond,"Multiple Capital Improvements, Public Works",Local obligations,3.322,0,,,,09/01/2025 12:00:00 AM,09/01/2036 12:00:00 AM,NO,S:AA/A-,NOT RATED,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Neg,NO,Piper Jaffray & Co,,,,Del Rio Advisors LLC,Kronick Moskovitz Tiedemann & Girard,,Kronick Moskovitz Tiedemann & Girard,,MUFG/Mitsubishi UFG Union Bank,5.21,500655.1,0,0,0,101342.1,0,85651,32499,0,32499,0,13500,63060,16500,155604
2018-1068,Rio Vista CFD No 2018-1,2018-1068.pdf (http://cdiacdocs.sto.ca.gov/2018-1068.pdf),SOLD,06/26/2018 12:00:00 AM,2018-1068 Report (https://debtwatch.treasurer.ca.gov/transparency?cdiac=2018-1068),LATE (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),Y,Yes,06/30/2018 12:00:00 AM,Y,Solano,NO,NO,,Mello-Roos,Community Facilities District,Liberty Community,12035000,0,12035000,835245,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,4.409,0,,,,09/01/2025 12:00:00 AM,09/01/2048 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,NO,Hilltop Securities Inc,,,,Del Rio Advisors LLC,Kronick Moskovitz Tiedemann & Girard,,Kronick Moskovitz Tiedemann & Girard,,MUFG/Mitsubishi UFG Union Bank,3.52,423819,90263,8755,27350,126368,0,75490,32500,0,32500,0,3500,0,0,153461
2017-2116,Travis Unified School District,2017-2116.pdf (http://cdiacdocs.sto.ca.gov/2017-2116.pdf),SOLD,06/01/2017 12:00:00 AM,2017-2116 Report (https://debtwatch.treasurer.ca.gov/transparency?cdiac=2017-2116),FILED (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),Y,Yes,06/30/2019 12:00:00 AM,Y,Solano,NO,NO,,K-14 Schools,K-12 School District,Series C,7806090,0,7806090,0,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,2.49,2.49,,,,07/05/2017 12:00:00 AM,03/01/2029 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,Banc of America Public Capital Corp,,Capitol Public Finance Group,Orrick Herrington & Sutcliffe LLP,,,,,1.58,123460.97,0,0,0,0,5000,50000,40000,0,0,0,0,0,0,28460.97
2017-2067,Solano County,2017-2067.pdf (http://cdiacdocs.sto.ca.gov/2017-2067.pdf),SOLD,08/15/2017 12:00:00 AM,2017-2067 Report (https://debtwatch.treasurer.ca.gov/transparency?cdiac=2017-2067),FILED (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),Y,Yes,06/30/2019 12:00:00 AM,Y,Solano,NO,NO,,Counties,County Government,"Government Ctr, Probation Fac, Central Utility Plant & Library Headqtrs",72775000,0,72775000,13783787.65,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,1.951,2.213,,,,11/01/2027 12:00:00 AM,11/01/2030 12:00:00 AM,NO,S:AA,NOT RATED,NOT RATED,NOT RATED,,,Neg,NO,Raymond James & Associates Inc,,,,The PFM Group/Public Financial Management Inc,Orrick Herrington & Sutcliffe LLP,,Hawkins Delafield & Wood LLP,,MUFG/Mitsubishi UFG Union Bank,0.69,501883.01,176952.5,0,36879.95,213832.45,0,50433.47,95000,0,56740,0,5250,0,38000,42627.09
